Advanced Reads Report
 
Report time	6/14/2018 2:16:43 PM
Method	C:\Users\Admin\Desktop\Methods\Multiple Plasma composition - Clifton.MAB
Batch name	C:\Users\Admin\Desktop\CliftonAnderson\6-13-2018_plasma_100_4_6_10dilution.BAB
Application	Advanced Reads 5.0.0.999
Operator	 
Instrument Settings
 
Instrument	Cary 60
Instrument version no.	2.00
Wavelength (nm)	280.00, 421.00, 600.00, 700.00
Ordinate Mode	Abs
Ave Time (sec)	0.2500
Replicates	3
Sample averaging	OFF
Cell changer	ON
Zero Report
Read	Abs (280.0 nm)	Abs (421.0 nm)	Abs (600.0 nm)	Abs (700.0 nm)
Cell 1	0.2810	0.0651	0.0541	0.0395
Cell 2	0.2958	0.0732	0.0604	0.0454
Cell 3	0.2533	0.0669	0.0557	0.0411
Cell 4	0.2735	0.0677	0.0558	0.0412
Cell 5	0.2612	0.0636	0.0534	0.0390
Cell 6	0.2752	0.0807	0.0676	0.0522
Cell 7	0.2852	0.0717	0.0600	0.0454
Cell 8	0.2747	0.0703	0.0586	0.0439
 	 
Analysis
 
Collection time	6/14/2018 2:16:43 PM
Sample	F	Abs(280.0)	Abs(421.0)	Abs(600.0)	Abs(700.0)
Tube1	 	 1.0872	 0.7054	 0.3869	 0.3623
 	 	 1.0836	 0.7048	 0.3880	 0.3635
 	 	 1.0906	 0.7111	 0.3918	 0.3670
Tube2	 	 1.1886	 0.8069	 0.5413	 0.5109
 	 	 1.1867	 0.8062	 0.5412	 0.5114
 	 	 1.1913	 0.8114	 0.5419	 0.5118
Tube3	 	 1.0834	 0.7691	 0.4583	 0.4397
 	 	 1.0796	 0.7637	 0.4565	 0.4378
 	 	 1.0763	 0.7601	 0.4546	 0.4371
Tube4	 	 2.2347	 2.1962	 1.3016	 1.2463
 	 	 2.2285	 2.1921	 1.2980	 1.2447
 	 	 2.2194	 2.1759	 1.2938	 1.2419
Tube5	 	 1.1178	 0.8010	 0.4605	 0.4349
 	 	 1.1118	 0.7908	 0.4533	 0.4280
 	 	 1.1007	 0.7806	 0.4490	 0.4259
Tube6	 	 1.7006	 1.5172	 0.9971	 0.9558
 	 	 1.7011	 1.5175	 0.9993	 0.9599
 	 	 1.7041	 1.5199	 1.0019	 0.9629
Tube4-10	 	 0.2206	 0.2148	 0.1314	 0.1251
 	 	 0.2186	 0.2139	 0.1314	 0.1255
 	 	 0.2196	 0.2149	 0.1310	 0.1253
Tube6-10	 	 0.1751	 0.1549	 0.1152	 0.1107
 	 	 0.1750	 0.1547	 0.1155	 0.1108
 	 	 0.1747	 0.1542	 0.1154	 0.1111
Results Flags Legend
 
R = Repeat reading	 
