HCT,Tube,Centrifuge,HCT.meas
20,1,clin.1,18
20,2,clin.1,18
20,3,clin.1,18
40,4,clin.1,39.5
40,5,clin.1,40
40,6,clin.1,40
60,7,clin.1,55
60,8,clin.1,54
60,9,clin.1,51.5
80,10,clin.1,69.5
80,11,clin.1,69
80,12,clin.1,69.5
20,1,clin.2,18
20,2,clin.2,17.8
20,3,clin.2,18
40,4,clin.2,39.5
40,5,clin.2,39.75
40,6,clin.2,40
60,7,clin.2,55
60,8,clin.2,53.25
60,9,clin.2,55
80,10,clin.2,68.5
80,11,clin.2,69
80,12,clin.2,69
20,13,Pitt,18
20,14,Pitt,18.5
20,15,Pitt,19
40,16,Pitt,41.5
40,17,Pitt,41.5
40,18,Pitt,41.5
60,19,Pitt,55.5
60,20,Pitt,55
60,21,Pitt,55
80,22,Pitt,72
80,23,Pitt,73
80,24,Pitt,72
